Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
2,"Damerow, Astrid",CDU,30.4,Schleswig-Holstein,NA,Direkt
3,"Helfrich, Mark",CDU,29.2,Schleswig-Holstein,NA,Direkt
4,"Dr. Wadephul, Johann David",CDU,NA,Schleswig-Holstein,1,Liste
9,"Gädechens, Ingo Adolf August",CDU,NA,Schleswig-Holstein,3,Liste
1,"Nicolaisen, Petra",CDU,NA,Schleswig-Holstein,4,Liste
8,"Storjohann, Gero",CDU,NA,Schleswig-Holstein,5,Liste
16,"Amthor, Philipp",CDU,NA,Mecklenburg-Vorpommern,1,Liste
12,"Monstadt, Dietrich",CDU,NA,Mecklenburg-Vorpommern,2,Liste
21,"Dr. Ploß, Christoph Johannes",CDU,NA,Hamburg,1,Liste
22,"Hoppermann, Franziska Christina Brigitte",CDU,NA,Hamburg,2,Liste
32,"Breher, Silvia Maria",CDU,49.1,Niedersachsen,NA,Direkt
25,"Connemann, Gitta",CDU,44.4,Niedersachsen,NA,Direkt
31,"Stegemann, Albert",CDU,40.5,Niedersachsen,NA,Direkt
38,"Dr. Berghegger, André (Mandat verzichtet)",CDU,36.2,Niedersachsen,NA,Direkt
30,"Grundmann, Oliver Klaus",CDU,34.6,Niedersachsen,NA,Direkt
33,"Knoerig, Axel",CDU,33.8,Niedersachsen,NA,Direkt
34,"Mattfeldt, Andreas",CDU,33.7,Niedersachsen,NA,Direkt
44,"Otte, Henning Rudolf Helmut",CDU,32.9,Niedersachsen,NA,Direkt
43,"Dr. Hoppenstedt, Hendrik",CDU,NA,Niedersachsen,1,Liste
36,"Grosse-Brömer, Michael",CDU,NA,Niedersachsen,2,Liste
39,"Dr. Middelberg, Mathias Wolfgang Antonius",CDU,NA,Niedersachsen,4,Liste
29,"Ferlemann, Enak Matthias",CDU,NA,Niedersachsen,5,Liste
26,"Janssen, Anne",CDU,NA,Niedersachsen,6,Liste
47,"Kuban, Tilman Moritz",CDU,NA,Niedersachsen,7,Liste
50,"Müller, Carsten",CDU,NA,Niedersachsen,8,Liste
46,"Wulf, Mareike Lotte",CDU,NA,Niedersachsen,9,Liste
54,"Röwekamp, Thomas",CDU,NA,Bremen,1,Liste
57,"Koeppen, Jens",CDU,NA,Brandenburg,1,Liste
58,"Feiler, Uwe Wolfgang Werner",CDU,NA,Brandenburg,2,Liste
62,"Schimke, Jana",CDU,NA,Brandenburg,3,Liste
65,"Abraham, Knut Friedrich Alexander",CDU,NA,Brandenburg,4,Liste
70,"Müller, Sepp",CDU,34.3,Sachsen-Anhalt,NA,Direkt
68,"Brehmer, Heike Martina",CDU,27.7,Sachsen-Anhalt,NA,Direkt
73,"Stier, Dieter",CDU,26.3,Sachsen-Anhalt,NA,Direkt
69,"Sorge, Tino",CDU,NA,Sachsen-Anhalt,3,Liste
85,"Czaja, Mario",CDU,29.7,Berlin,NA,Direkt
77,"Grütters, Monika",CDU,29.5,Berlin,NA,Direkt
79,"Heilmann, Thomas",CDU,28.6,Berlin,NA,Direkt
81,"Dr. Luczak, Jan-Marco",CDU,NA,Berlin,2,Liste
137,"Dr. Linnemann, Carsten Christoffer",CDU,47.9,Nordrhein-Westfalen,NA,Direkt
126,"König, Anne",CDU,43.7,Nordrhein-Westfalen,NA,Direkt
127,"Henrichmann, Marc",CDU,40.9,Nordrhein-Westfalen,NA,Direkt
147,"Merz, Joachim-Friedrich Martin Josef",CDU,40.4,Nordrhein-Westfalen,NA,Direkt
136,"Haase, Christian",CDU,40.1,Nordrhein-Westfalen,NA,Direkt
98,"Dr. Röttgen, Norbert Alois",CDU,40,Nordrhein-Westfalen,NA,Direkt
124,"Spahn, Jens Georg",CDU,40,Nordrhein-Westfalen,NA,Direkt
131,"Brinkhaus, Ralph",CDU,40,Nordrhein-Westfalen,NA,Direkt
89,"Oellers, Wilfried",CDU,39.7,Nordrhein-Westfalen,NA,Direkt
112,"Rouenhoff, Stefan",CDU,37.6,Nordrhein-Westfalen,NA,Direkt
149,"Müller, Florian Matthias",CDU,37.1,Nordrhein-Westfalen,NA,Direkt
90,"Rachel, Thomas Walther",CDU,36.7,Nordrhein-Westfalen,NA,Direkt
130,"Rehbaum, Henning",CDU,36.3,Nordrhein-Westfalen,NA,Direkt
108,"Gröhe, Gottfried Hermann",CDU,35.8,Nordrhein-Westfalen,NA,Direkt
111,"Dr. Plum, Martin",CDU,35.8,Nordrhein-Westfalen,NA,Direkt
109,"Dr. Krings, Günter",CDU,35.6,Nordrhein-Westfalen,NA,Direkt
92,"Seif, Detlef",CDU,34.6,Nordrhein-Westfalen,NA,Direkt
128,"Karliczek, Anja Maria-Antonia",CDU,34,Nordrhein-Westfalen,NA,Direkt
99,"Dr. Brodesser, Carsten",CDU,33.9,Nordrhein-Westfalen,NA,Direkt
148,"Klein, Volkmar",CDU,33.6,Nordrhein-Westfalen,NA,Direkt
150,"Ziemiak, Paul",CDU,33.6,Nordrhein-Westfalen,NA,Direkt
110,"Heveling, Ansgar Guido Karl Johannes",CDU,33.4,Nordrhein-Westfalen,NA,Direkt
146,"Thies, Hans-Jürgen",CDU,33.1,Nordrhein-Westfalen,NA,Direkt
91,"Dr. Kippels, Georg",CDU,33,Nordrhein-Westfalen,NA,Direkt
97,"Winkelmeier-Becker, Elisabeth",CDU,32.6,Nordrhein-Westfalen,NA,Direkt
105,"Beyer, Peter",CDU,31.3,Nordrhein-Westfalen,NA,Direkt
106,"Jarzombek, Thomas",CDU,31.1,Nordrhein-Westfalen,NA,Direkt
120,"Hauer, Matthias",CDU,30.7,Nordrhein-Westfalen,NA,Direkt
100,"Dr. Tebroke, Hermann-Josef Johann",CDU,30,Nordrhein-Westfalen,NA,Direkt
104,"Dr. Wiener, Klaus",CDU,30,Nordrhein-Westfalen,NA,Direkt
NA,"Laschet, Armin",CDU,NA,Nordrhein-Westfalen,1,Liste
101,"Güler, Serap",CDU,NA,Nordrhein-Westfalen,8,Liste
118,"Timmermann-Fechter, Astrid",CDU,NA,Nordrhein-Westfalen,10,Liste
113,"Weiss, Sabine Katharina",CDU,NA,Nordrhein-Westfalen,13,Liste
88,"dos Santos Firnhaber, Catarina",CDU,NA,Nordrhein-Westfalen,15,Liste
121,"Breilmann, Michael",CDU,NA,Nordrhein-Westfalen,16,Liste
135,"Vieregge, Kerstin",CDU,NA,Nordrhein-Westfalen,17,Liste
129,"Dr. Nacke, Stefan",CDU,NA,Nordrhein-Westfalen,18,Liste
166,"Magwas, Yvonne",CDU,27.7,Sachsen,NA,Direkt
159,"Dr. Reichel, Markus",CDU,21.1,Sachsen,NA,Direkt
152,"Lehmann, Jens",CDU,20.5,Sachsen,NA,Direkt
160,"Rohwer, Lars",CDU,18.6,Sachsen,NA,Direkt
163,"Wanderwitz, Marco",CDU,NA,Sachsen,1,Liste
151,"Dr. Schenderlein, Christiane",CDU,NA,Sachsen,2,Liste
174,"Brand, Michael Karl",CDU,38.1,Hessen,NA,Direkt
181,"Altenkamp, Norbert Maria",CDU,33.3,Hessen,NA,Direkt
176,"Koob, Markus Benjamin",CDU,31.3,Hessen,NA,Direkt
188,"Dr. Meister, Michael Günther",CDU,30.5,Hessen,NA,Direkt
178,"Willsch, Klaus-Peter",CDU,30.2,Hessen,NA,Direkt
185,"Simon, Björn Manuel",CDU,27.8,Hessen,NA,Direkt
179,"Jung, Ingmar Ludwig (Mandat verzichtet)",CDU,26.3,Hessen,NA,Direkt
173,"Dr. Braun, Helge Reinhold",CDU,NA,Hessen,1,Liste
187,"Lips, Patricia",CDU,NA,Hessen,2,Liste
180,"Dr. Leikert, Katja Isabel",CDU,NA,Hessen,5,Liste
167,"Schwarz, Armin",CDU,NA,Hessen,6,Liste
189,"Grund, Manfred",CDU,26.6,Thüringen,NA,Direkt
190,"Hirte, Christian",CDU,NA,Thüringen,1,Liste
193,"Tillmann, Antje",CDU,NA,Thüringen,2,Liste
202,"Schnieder, Patrick",CDU,37.8,Rheinland-Pfalz,NA,Direkt
198,"Heil, Mechthild",CDU,34.3,Rheinland-Pfalz,NA,Direkt
200,"Dr. Bröhr, Marlon",CDU,34.3,Rheinland-Pfalz,NA,Direkt
206,"Metzler, Jan",CDU,32.2,Rheinland-Pfalz,NA,Direkt
197,"Rüddel, Erwin Josef",CDU,31.9,Rheinland-Pfalz,NA,Direkt
199,"Oster, Josef",CDU,31.7,Rheinland-Pfalz,NA,Direkt
208,"Steiniger, Johannes Eberhard",CDU,30.2,Rheinland-Pfalz,NA,Direkt
201,"Klöckner, Julia",CDU,NA,Rheinland-Pfalz,1,Liste
211,"Dr. Gebhart, Thomas",CDU,NA,Rheinland-Pfalz,3,Liste
270,"Kiesewetter, Roderich",CDU,37,Baden-Württemberg,NA,Direkt
286,"Frei, Thorsten",CDU,36.4,Baden-Württemberg,NA,Direkt
276,"Warken, Nina Ingrid",CDU,35.8,Baden-Württemberg,NA,Direkt
292,"Rief, Josef",CDU,35.1,Baden-Württemberg,NA,Direkt
284,"Dr. Schäuble, Wolfgang (verstorben)",CDU,34.9,Baden-Württemberg,NA,Direkt
287,"Jung, Andreas",CDU,34.1,Baden-Württemberg,NA,Direkt
280,"Mack, Klaus",CDU,33.8,Baden-Württemberg,NA,Direkt
288,"Schreiner, Felix",CDU,33.6,Baden-Württemberg,NA,Direkt
273,"Whittaker, Kai Thorsten",CDU,33.2,Baden-Württemberg,NA,Direkt
291,"Kemmer, Ronja Helene",CDU,32.7,Baden-Württemberg,NA,Direkt
289,"Donth, Michael",CDU,32.5,Baden-Württemberg,NA,Direkt
268,"Freiherr von Stetten, Christian Alexander",CDU,32.1,Baden-Württemberg,NA,Direkt
261,"Grübel, Markus",CDU,32,Baden-Württemberg,NA,Direkt
285,"Weiss, Maria-Lena",CDU,31.5,Baden-Württemberg,NA,Direkt
263,"Färber, Hermann",CDU,31,Baden-Württemberg,NA,Direkt
294,"Müller, Axel Karl",CDU,30.6,Baden-Württemberg,NA,Direkt
269,"Dr. Gräßle, Ingeborg Gabriele",CDU,30.5,Baden-Württemberg,NA,Direkt
266,"Gramling, Fabian Benedikt Meinrad",CDU,30.4,Baden-Württemberg,NA,Direkt
272,"Zippelius, Nicolas Benjamin",CDU,30.4,Baden-Württemberg,NA,Direkt
293,"Mayer-Lay, Volker",CDU,30.4,Baden-Württemberg,NA,Direkt
262,"Hennrich, Michael (Mandat verzichtet)",CDU,30.1,Baden-Württemberg,NA,Direkt
295,"Bareiß, Thomas",CDU,30.1,Baden-Württemberg,NA,Direkt
298,"Schön, Nadine",CDU,NA,Saarland,3,Liste
299,"Uhl, Markus Alexander",CDU,NA,Saarland,4,Liste
11,"Klüssendorf, Tim",SPD,34.1,Schleswig-Holstein,NA,Direkt
9,"Hagedorn, Bettina",SPD,33.7,Schleswig-Holstein,NA,Direkt
8,"Bergt, Bengt Axel",SPD,32,Schleswig-Holstein,NA,Direkt
6,"Dr. Klinck, Kristian",SPD,31.4,Schleswig-Holstein,NA,Direkt
7,"Dr. Stegner, Ralf",SPD,31.2,Schleswig-Holstein,NA,Direkt
10,"Dr. Scheer, Nina",SPD,31,Schleswig-Holstein,NA,Direkt
4,"Rix, Sönke",SPD,30.8,Schleswig-Holstein,NA,Direkt
13,"Junge, Frank Michael",SPD,35.2,Mecklenburg-Vorpommern,NA,Direkt
17,"Arlt, Johannes",SPD,31.1,Mecklenburg-Vorpommern,NA,Direkt
12,"Alabali-Radovan, Reem",SPD,29.4,Mecklenburg-Vorpommern,NA,Direkt
14,"Zschau, Katrin",SPD,27,Mecklenburg-Vorpommern,NA,Direkt
23,"Hakverdi, Metin",SPD,39.3,Hamburg,NA,Direkt
22,"Özoğuz, Saliha Aydan",SPD,38.7,Hamburg,NA,Direkt
18,"Droßmann, Falko",SPD,33.2,Hamburg,NA,Direkt
21,"Martin, Dorothee Katja Julia",SPD,30.7,Hamburg,NA,Direkt
24,"Saathoff, Johann",SPD,52.8,Niedersachsen,NA,Direkt
35,"Klingbeil, Lars",SPD,47.6,Niedersachsen,NA,Direkt
26,"Möller, Siemtje Victoria Regine Ilse Santjer",SPD,45.4,Niedersachsen,NA,Direkt
45,"Heil, Wolfgang-Hubertus",SPD,43.7,Niedersachsen,NA,Direkt
46,"Schraps, Johannes",SPD,43.2,Niedersachsen,NA,Direkt
51,"Mohrs, Falko (Mandat verzichtet)",SPD,42.1,Niedersachsen,NA,Direkt
47,"Dr. Miersch, Matthias",SPD,40.7,Niedersachsen,NA,Direkt
48,"Westphal, Bernd Helmut",SPD,38.7,Niedersachsen,NA,Direkt
49,"Kreiser, Dunja Eleonore Angelika",SPD,38.6,Niedersachsen,NA,Direkt
27,"Rohde, Dennis",SPD,38.2,Niedersachsen,NA,Direkt
29,"Schneider, Daniel Dominik",SPD,36.8,Niedersachsen,NA,Direkt
28,"Mittag, Susanne",SPD,36.7,Niedersachsen,NA,Direkt
50,"Dr. Pantazis, Christos",SPD,36.7,Niedersachsen,NA,Direkt
52,"Heiligenstadt, Frauke",SPD,36.7,Niedersachsen,NA,Direkt
40,"Völlers, Marja-Liisa",SPD,35.3,Niedersachsen,NA,Direkt
41,"Ahmetovic, Adis",SPD,34.9,Niedersachsen,NA,Direkt
43,"Schamber, Rebecca",SPD,33.7,Niedersachsen,NA,Direkt
42,"Fahimi, Yasmin (Mandat verzichtet)",SPD,32.9,Niedersachsen,NA,Direkt
53,"Dr. Philippi, Andreas Milan Gerhard (Mandat verzichtet)",SPD,32.2,Niedersachsen,NA,Direkt
36,"Stadler, Svenja",SPD,31,Niedersachsen,NA,Direkt
39,"Gava, Manuel",SPD,30.3,Niedersachsen,NA,Direkt
37,"Blankenburg, Jakob",SPD,28.2,Niedersachsen,NA,Direkt
55,"Schmidt, Uwe",SPD,36.9,Bremen,NA,Direkt
54,"Ryglewski, Sarah Janina",SPD,30.2,Bremen,NA,Direkt
61,"Scholz, Olaf",SPD,34,Brandenburg,NA,Direkt
56,"Papenbrock, Wiebke",SPD,33,Brandenburg,NA,Direkt
60,"Eichwede, Sonja Katharina",SPD,32.1,Brandenburg,NA,Direkt
57,"Zierke, Stefan",SPD,29.6,Brandenburg,NA,Direkt
63,"Papendieck, Mathias",SPD,28,Brandenburg,NA,Direkt
64,"Wallstein, Maja Scarlett",SPD,27.6,Brandenburg,NA,Direkt
62,"Lehmann, Sylvia",SPD,26.5,Brandenburg,NA,Direkt
72,"Dr. Diaby, Karamba",SPD,28.8,Sachsen-Anhalt,NA,Direkt
66,"Dr. Wollmann, Herbert",SPD,27.5,Sachsen-Anhalt,NA,Direkt
67,"Dr. Kersten, Franziska",SPD,26.2,Sachsen-Anhalt,NA,Direkt
69,"Kröber, Martin",SPD,25.3,Sachsen-Anhalt,NA,Direkt
74,"Budde, Katrin",SPD,NA,Sachsen-Anhalt,2,Liste
78,"Kleebank, Helmut",SPD,32.6,Berlin,NA,Direkt
81,"Kühnert, Kevin",SPD,26.7,Berlin,NA,Direkt
82,"Demir, Hakan",SPD,25.8,Berlin,NA,Direkt
83,"Kiziltepe, Cansel",SPD,NA,Berlin,2,Liste
75,"Klose, Annika Gisela",SPD,NA,Berlin,4,Liste
79,"Stüwe, Ruppert Fritz Johannes",SPD,NA,Berlin,5,Liste
101,"Dr. Lauterbach, Karl Wilhelm",SPD,45.6,Nordrhein-Westfalen,NA,Direkt
141,"Müntefering, Michelle-Jasmin Gabriele",SPD,43.4,Nordrhein-Westfalen,NA,Direkt
121,"Schwabe, Frank",SPD,41,Nordrhein-Westfalen,NA,Direkt
144,"Kaczmarek, Oliver",SPD,40.8,Nordrhein-Westfalen,NA,Direkt
145,"Thews, Michael Eckardt",SPD,40.6,Nordrhein-Westfalen,NA,Direkt
123,"Töns, Markus",SPD,40.5,Nordrhein-Westfalen,NA,Direkt
115,"Bas, Bärbel",SPD,40.3,Nordrhein-Westfalen,NA,Direkt
116,"Özdemir, Mahmut",SPD,39.4,Nordrhein-Westfalen,NA,Direkt
125,"Gerdes, Michael",SPD,39.1,Nordrhein-Westfalen,NA,Direkt
143,"Poschmann, Sabine",SPD,39.1,Nordrhein-Westfalen,NA,Direkt
117,"Vöpel, Dirk",SPD,38.8,Nordrhein-Westfalen,NA,Direkt
134,"Post, Achim Jürgen",SPD,38.4,Nordrhein-Westfalen,NA,Direkt
140,"Schäfer, Axel Helmut",SPD,38.3,Nordrhein-Westfalen,NA,Direkt
119,"Heidenblut, Dirk",SPD,37.8,Nordrhein-Westfalen,NA,Direkt
122,"Nickholz, Brian",SPD,37.4,Nordrhein-Westfalen,NA,Direkt
102,"Lindh, Helge Frederik",SPD,37.3,Nordrhein-Westfalen,NA,Direkt
133,"Schwartze, Stefan",SPD,36.5,Nordrhein-Westfalen,NA,Direkt
118,"Fiedler, Sebastian",SPD,36.3,Nordrhein-Westfalen,NA,Direkt
139,"Echeverria, Inaki Axel",SPD,35.4,Nordrhein-Westfalen,NA,Direkt
114,"Dieren, Jan Ulrich",SPD,35.2,Nordrhein-Westfalen,NA,Direkt
88,"Moll, Claudia",SPD,34.5,Nordrhein-Westfalen,NA,Direkt
113,"Keller, Rainer Johannes (verstorben)",SPD,34.2,Nordrhein-Westfalen,NA,Direkt
138,"Schisanowski, Timo",SPD,33.3,Nordrhein-Westfalen,NA,Direkt
142,"Peick, Jens",SPD,33,Nordrhein-Westfalen,NA,Direkt
103,"Schäfer, Ingo",SPD,32.6,Nordrhein-Westfalen,NA,Direkt
135,"Berghahn, Jürgen",SPD,30.7,Nordrhein-Westfalen,NA,Direkt
132,"Dr. Esdar, Wiebke",SPD,30,Nordrhein-Westfalen,NA,Direkt
95,"Dr. Mützenich, Rolf Heinrich",SPD,29.9,Nordrhein-Westfalen,NA,Direkt
107,"Rimkus, Andreas",SPD,29.2,Nordrhein-Westfalen,NA,Direkt
93,"Abdi, Sanae",SPD,27.9,Nordrhein-Westfalen,NA,Direkt
129,"Schulze, Svenja",SPD,NA,Nordrhein-Westfalen,2,Liste
97,"Hartmann, Sebastian",SPD,NA,Nordrhein-Westfalen,3,Liste
105,"Griese, Kerstin",SPD,NA,Nordrhein-Westfalen,4,Liste
147,"Wiese, Dirk",SPD,NA,Nordrhein-Westfalen,5,Liste
111,"Schiefner, Udo",SPD,NA,Nordrhein-Westfalen,7,Liste
130,"Daldrup, Bernhard",SPD,NA,Nordrhein-Westfalen,9,Liste
126,"Heselhaus, Nadine",SPD,NA,Nordrhein-Westfalen,10,Liste
150,"Lugk, Bettina",SPD,NA,Nordrhein-Westfalen,14,Liste
90,"Nietan, Dietmar Heinrich",SPD,NA,Nordrhein-Westfalen,17,Liste
92,"Andres, Dagmar",SPD,NA,Nordrhein-Westfalen,18,Liste
96,"Rosenthal, Jessica",SPD,NA,Nordrhein-Westfalen,20,Liste
146,"Hellmich, Wolfgang",SPD,NA,Nordrhein-Westfalen,21,Liste
109,"Yüksel, Gülistan",SPD,NA,Nordrhein-Westfalen,22,Liste
162,"Müller, Detlef",SPD,25.1,Sachsen,NA,Direkt
152,"Mann, Holger",SPD,NA,Sachsen,1,Liste
156,"Michel, Susanne Kathrin",SPD,NA,Sachsen,2,Liste
159,"Nasr, Rasha",SPD,NA,Sachsen,4,Liste
163,"Kasper, Carlos",SPD,NA,Sachsen,5,Liste
153,"Sthamer, Nadja",SPD,NA,Sachsen,6,Liste
158,"Funke, Fabian",SPD,NA,Sachsen,7,Liste
169,"Roth, Michael",SPD,43.7,Hessen,NA,Direkt
170,"Dr. Franke, Edgar Konrad Hartmut",SPD,39.3,Hessen,NA,Direkt
167,"Dilcher, Esther",SPD,38,Hessen,NA,Direkt
171,"Bartol, Sören",SPD,36.9,Hessen,NA,Direkt
168,"Gremmels, Timon (Mandat verzichtet)",SPD,36.1,Hessen,NA,Direkt
184,"Wegling, Melanie",SPD,33.5,Hessen,NA,Direkt
172,"Schmidt, Dagmar",SPD,33.1,Hessen,NA,Direkt
187,"Dr. Zimmermann, Jens",SPD,32.3,Hessen,NA,Direkt
180,"Oehl, Jan Lennard",SPD,31.1,Hessen,NA,Direkt
175,"Müller, Bettina",SPD,30.5,Hessen,NA,Direkt
173,"Döring, Felix Maximilian",SPD,30.4,Hessen,NA,Direkt
177,"Pawlik, Natalie",SPD,29.7,Hessen,NA,Direkt
182,"Zorn, Armand",SPD,29,Hessen,NA,Direkt
186,"Larem, Andreas",SPD,27.4,Hessen,NA,Direkt
196,"Ullrich, Frank",SPD,33.6,Thüringen,NA,Direkt
193,"Schneider, Carsten",SPD,24.4,Thüringen,NA,Direkt
191,"Dr. Becker, Holger",SPD,20.1,Thüringen,NA,Direkt
194,"Kaiser, Elisabeth",SPD,NA,Thüringen,2,Liste
209,"Mieves, Matthias David",SPD,33.9,Rheinland-Pfalz,NA,Direkt
201,"Dr. Weingarten, Joe",SPD,33,Rheinland-Pfalz,NA,Direkt
203,"Hubertz, Verena Ute",SPD,33,Rheinland-Pfalz,NA,Direkt
207,"Schreider, Christian Willi Heribert",SPD,32.8,Rheinland-Pfalz,NA,Direkt
204,"Dr. Machalet, Tanja",SPD,31.5,Rheinland-Pfalz,NA,Direkt
210,"Glöckner, Angelika",SPD,30.4,Rheinland-Pfalz,NA,Direkt
211,"Hitschler, Thomas",SPD,28.2,Rheinland-Pfalz,NA,Direkt
205,"Baldy, Daniel",SPD,24.9,Rheinland-Pfalz,NA,Direkt
199,"Dr. Rudolph, Thorsten",SPD,NA,Rheinland-Pfalz,3,Liste
208,"Mackensen-Geis, Isabel Larissa",SPD,NA,Rheinland-Pfalz,4,Liste
235,"Grötsch, Ulrich Peter",SPD,NA,Bayern,1,Liste
225,"Dr. Kofler, Bärbel",SPD,NA,Bayern,2,Liste
243,"Träger, Carsten Dietmar",SPD,NA,Bayern,3,Liste
237,"Kramme, Anette",SPD,NA,Bayern,4,Liste
219,"Roloff, Sebastian Jörg",SPD,NA,Bayern,5,Liste
227,"Hagl-Kehl, Rita Andrea",SPD,NA,Bayern,6,Liste
249,"Rützel, Bernd Ferdinand",SPD,NA,Bayern,7,Liste
244,"Heinrich, Gabriela",SPD,NA,Bayern,8,Liste
254,"Schmid, Christoph Florian",SPD,NA,Bayern,9,Liste
218,"Tausend, Claudia Rosina",SPD,NA,Bayern,10,Liste
236,"Schwarz, Andreas",SPD,NA,Bayern,11,Liste
234,"Schieder, Marianne",SPD,NA,Bayern,12,Liste
215,"Schrodi, Michael Georg",SPD,NA,Bayern,13,Liste
248,"Dittmar, Sabine",SPD,NA,Bayern,14,Liste
214,"Mehltretter, Andreas",SPD,NA,Bayern,15,Liste
252,"Bahr, Ulrike Renate Martina",SPD,NA,Bayern,16,Liste
229,"Schätzl, Johannes",SPD,NA,Bayern,17,Liste
242,"Stamm-Fibich, Martina Margarete",SPD,NA,Bayern,18,Liste
239,"Nürnberger, Jörg Mathias",SPD,NA,Bayern,19,Liste
224,"Wegge, Carmen",SPD,NA,Bayern,20,Liste
275,"Cademartori Dujisin, Isabel Andrea",SPD,26.4,Baden-Württemberg,NA,Direkt
280,"Esken, Saskia Christina",SPD,NA,Baden-Württemberg,1,Liste
262,"Dr. Schmid, Nils Hermann",SPD,NA,Baden-Württemberg,2,Liste
288,"Schwarzelühr-Sutter, Rita Berta",SPD,NA,Baden-Württemberg,3,Liste
290,"Dr. Rosemann, Martin",SPD,NA,Baden-Württemberg,4,Liste
279,"Mast, Katja Wilma",SPD,NA,Baden-Württemberg,5,Liste
283,"Dr. Fechner, Johannes",SPD,NA,Baden-Württemberg,6,Liste
270,"Breymaier, Leni",SPD,NA,Baden-Württemberg,7,Liste
292,"Gerster, Martin",SPD,NA,Baden-Württemberg,8,Liste
260,"Hostert, Jasmina",SPD,NA,Baden-Württemberg,9,Liste
277,"Dr. Castellucci, Lars",SPD,NA,Baden-Württemberg,10,Liste
273,"Katzmarek, Gabriele",SPD,NA,Baden-Württemberg,11,Liste
271,"Marvi, Parsa",SPD,NA,Baden-Württemberg,12,Liste
263,"Baehrens, Heike Charlotte",SPD,NA,Baden-Württemberg,13,Liste
265,"Karaahmetoǧlu, Macit",SPD,NA,Baden-Württemberg,14,Liste
287,"Dr. Seitzl, Lina",SPD,NA,Baden-Württemberg,15,Liste
295,"Mesarosch, Robin",SPD,NA,Baden-Württemberg,16,Liste
267,"Juratovic, Josip",SPD,NA,Baden-Württemberg,18,Liste
286,"Türk-Nachbaur, Derya",SPD,NA,Baden-Württemberg,19,Liste
296,"Ortleb, Josephine Loulou",SPD,36.9,Saarland,NA,Direkt
297,"Maas, Heiko Josef (Mandat verzichtet)",SPD,36.7,Saarland,NA,Direkt
299,"Limbacher, Esra-Leon Ruben",SPD,36.6,Saarland,NA,Direkt
9,"Witt, Uwe",AfD,NA,Schleswig-Holstein,1,Liste
