"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Gädechens, Ingo Adolf August","1960","CDU","Land Schleswig-Holstein (Platz 3)","Wahlkreis 009"
"Gambir, Schahina","1991","GRÜNE","Land Nordrhein-Westfalen (Platz 19)","Wahlkreis 134"
"Ganserer, Markus (Tessa)","1977","GRÜNE","Land Bayern (Platz 13)","Wahlkreis 244"
"Gaßner-Herz, Martin Thomas","1985","FDP","Land Baden-Württemberg (Platz 16)","Wahlkreis 284"
"Gastel, Matthias","1970","GRÜNE","Land Baden-Württemberg (Platz 9)","Wahlkreis 262"
"Dr. Gauland, Eberhardt Alexander","1941","AfD","Land Brandenburg (Platz 1)",""
"Gava, Manuel","1991","SPD","Wahlkreis 039 (30,3 %)","Land Niedersachsen (Platz 21)"
"Dr. Gebhart, Thomas","1971","CDU","Land Rheinland-Pfalz (Platz 3)","Wahlkreis 211"
"Gehring, Kai","1977","GRÜNE","Land Nordrhein-Westfalen (Platz 16)","Wahlkreis 120"
"Dr. Geissler, Jonas Alexander Tecumseh","1984","CSU","Wahlkreis 238 (36,5 %)",""
"Gelbhaar, Stefan","1976","GRÜNE","Wahlkreis 076 (26,8 %)","Land Berlin (Platz 2)"
"Gerdes, Michael","1960","SPD","Wahlkreis 125 (39,1 %)","Land Nordrhein-Westfalen (Platz 41)"
"Gerschau, Knut","1961","FDP","Land Niedersachsen (Platz 5)","Wahlkreis 042"
"Gerster, Martin","1971","SPD","Land Baden-Württemberg (Platz 8)","Wahlkreis 292"
"Dr. Gesenhues, Jan-Niclas","1990","GRÜNE","Land Nordrhein-Westfalen (Platz 8)","Wahlkreis 128"
"Glaser, Albrecht Heinz Erhard","1942","AfD","Land Hessen (Platz 5)","Wahlkreis 170"
"Glöckner, Angelika","1962","SPD","Wahlkreis 210 (30,4 %)","Land Rheinland-Pfalz (Platz 8)"
"Gnauck, Hannes","1991","AfD","Land Brandenburg (Platz 5)","Wahlkreis 057"
"Gohlke, Nicole Stephanie","1975","DIE LINKE","Land Bayern (Platz 1)","Wahlkreis 220"
"Göring-Eckardt, Katrin","1966","GRÜNE","Land Thüringen (Platz 1)","Wahlkreis 193"
"Görke, Christian","1962","DIE LINKE","Land Brandenburg (Platz 1)","Wahlkreis 064"
"Gottschalk, Kay","1965","AfD","Land Nordrhein-Westfalen (Platz 2)","Wahlkreis 111"
"Graf Lambsdorff, Alexander (Mandat verzichtet)","1966","FDP","Land Nordrhein-Westfalen (Platz 3)","Wahlkreis 096"
"Gramling, Fabian Benedikt Meinrad","1987","CDU","Wahlkreis 266 (30,4 %)",""
"Dr. Gräßle, Ingeborg Gabriele","1961","CDU","Wahlkreis 269 (30,5 %)","Land Baden-Württemberg (Platz 5)"
"Prof. Dr. Grau, Armin Jürgen","1959","GRÜNE","Land Rheinland-Pfalz (Platz 4)","Wahlkreis 207"
"Gremmels, Timon (Mandat verzichtet)","1976","SPD","Wahlkreis 168 (36,1 %)","Land Hessen (Platz 25)"
"Griese, Kerstin","1966","SPD","Land Nordrhein-Westfalen (Platz 4)","Wahlkreis 105"
"Gröhe, Gottfried Hermann","1961","CDU","Wahlkreis 108 (35,8 %)","Land Nordrhein-Westfalen (Platz 14)"
"Grosse-Brömer, Michael","1960","CDU","Land Niedersachsen (Platz 2)","Wahlkreis 036"
"Grötsch, Ulrich Peter","1975","SPD","Land Bayern (Platz 1)","Wahlkreis 235"
"Grübel, Markus","1959","CDU","Wahlkreis 261 (32,0 %)",""
"Grund, Manfred","1955","CDU","Wahlkreis 189 (26,6 %)","Land Thüringen (Platz 4)"
"Grundl, Erhard","1963","GRÜNE","Land Bayern (Platz 8)","Wahlkreis 231"
"Grundmann, Oliver Klaus","1971","CDU","Wahlkreis 030 (34,6 %)","Land Niedersachsen (Platz 18)"
"Grütters, Monika","1962","CDU","Wahlkreis 077 (29,5 %)","Land Berlin (Platz 1)"
"Grützmacher, Sabine","1986","GRÜNE","Land Nordrhein-Westfalen (Platz 25)","Wahlkreis 099"
"Güler, Serap","1980","CDU","Land Nordrhein-Westfalen (Platz 8)","Wahlkreis 101"
"Güntzler, Fritz","1966","CDU","Land Niedersachsen (Platz 10)","Wahlkreis 053"
"Gürpinar, Ates Nils","1984","DIE LINKE","Land Bayern (Platz 4)","Wahlkreis 222"
"Gutting, Olav Steffen","1970","CDU","Wahlkreis 278 (29,6 %)",""
"Gysi, Gregor","1948","DIE LINKE","Wahlkreis 084 (35,4 %)",""